"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Limenitis arthemis arizonensis","2017-11-19 13:23:17 -0600","","Sells, AZ  85634, Sells, AZ, US",32.2446148821,-112.0519967319,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/8863679","https://static.inaturalist.org/photos/11916358/medium.jpg?1511119424","keonte",8863679,"Arizona Red-spotted Purple","Insecta",60606,"false",1,0,"Sun Nov 19 2017 13:23:17 GMT-0600 (CST)","2017-11-19","2017-11-19 19:23:17 UTC","Central Time (US & Canada)",1299035,"","","false","","",NA,600138,"2017-11-19 19:23:43 UTC","2017-11-20 19:49:51 UTC","research","",3,"false"
"Limenitis arthemis arizonensis","2017-11-06 12:47:36 -0700","","Saguaro National Park, Mount Lemmon, AZ, US",32.3234716667,-110.7773666667,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/8715056","https://static.inaturalist.org/photos/11687548/medium.jpg?1510013298","beaatthenest",8715056,"Arizona Red-spotted Purple","Insecta",60606,"false",2,1,"Mon Nov 06 2017 12:47:36 GMT-0700 (MST)","2017-11-06","2017-11-06 19:47:36 UTC","Mountain Time (US & Canada)",5,"","","false","","",NA,87426,"2017-11-07 00:08:06 UTC","2017-11-07 15:44:31 UTC","research","",3,"false"
"Limenitis arthemis arizonensis","2017-10-17 15:22:00 -0500","Periferia Presa Constitución 1917.
San Juan del Río, Querétaro
Laura Uribe - Grupo Vasconcelos","San Juan del Río, Querétaro",20.401546,-100.089318,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/8662463","https://static.inaturalist.org/photos/11601950/medium.jpeg?1509678277","lauraelviauribelara",8662463,"Mariposa almirante","Insecta",60606,"false",2,0,"2017/10/17 3:22 PM CDT","2017-10-17","2017-10-17 20:22:00 UTC","Central Time (US & Canada)",NA,"","","false","","",NA,61280,"2017-11-03 03:27:12 UTC","2017-11-06 04:47:15 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-10-30 12:31:00 -0500","","Urdiñola, 25020 Saltillo, Coah., México",25.4151560075,-100.9819936752,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/8622236","https://static.inaturalist.org/photos/11535529/medium.jpeg?1509401112","arturoc",8622236,"Mariposa almirante","Insecta",60606,"false",1,0,"2017/10/30 12:31 PM CST","2017-10-30","2017-10-30 17:31:00 UTC","Central Time (US & Canada)",8,"","","false","","",NA,175755,"2017-10-30 22:17:46 UTC","2017-10-31 00:07:44 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-10-30 12:35:57 -0500","","Saltillo, MX-CA, MX",25.4151787196,-100.9819842875,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/8619912","https://static.inaturalist.org/photos/11531812/medium.jpeg?1509393535","rociohernandez",8619912,"Mariposa almirante","Insecta",60606,"false",1,0,"2017-10-30 12:35:57 PM CST","2017-10-30","2017-10-30 17:35:57 UTC","Central Time (US & Canada)",65,"","","false","gps","gps",NA,268235,"2017-10-30 19:58:52 UTC","2017-10-31 00:03:54 UTC","research","CC-BY-NC",2,"false"
"Limenitis arthemis arizonensis","2017-09-04 14:41:31 -0600","","United States",31.5591707475,-109.9951676157,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/8453414","https://static.inaturalist.org/photos/11265550/medium.jpeg?1508342424","fg2hummingbirds",8453414,"Arizona Red-spotted Purple","Insecta",60606,"false",2,0,"2017-09-04 2:41:31 PM MST","2017-09-04","2017-09-04 20:41:31 UTC","Mountain Time (US & Canada)",NA,"108 Mill Rd, Bisbee, AZ 85603, USA","obscured","true","gps","gps",NA,53395,"2017-10-18 16:00:02 UTC","2017-10-18 17:00:37 UTC","research","CC-BY-NC-ND",2,"false"
"Limenitis arthemis arizonensis","2016-10-03 08:37:00 -0700","Seen Mt. Wrightson's Picnic Area at the end of the Maerda Canyon Road.","Santa Cruz County, AZ, USA",31.713163708,-110.8739349246,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/8046031","https://static.inaturalist.org/photos/10657624/medium.jpg?1506126850","xranger2013",8046031,"Arizona Red-spotted Purple","Insecta",60606,"false",1,0,"2016/10/03 8:37 AM PDT","2016-10-03","2016-10-03 15:37:00 UTC","Pacific Time (US & Canada)",50,"","","false","","",NA,107502,"2017-09-23 00:34:13 UTC","2017-09-23 00:40:17 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2016-10-02 09:35:00 -0700","Seen  in the Box Canyon area on the Santa Rita Mtns. Fall Butterfly Count. ","Pima County, AZ, USA",31.7973896652,-110.790637582,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/8044919","https://static.inaturalist.org/photos/10655477/medium.jpg?1506120986","xranger2013",8044919,"Arizona Red-spotted Purple","Insecta",60606,"false",1,0,"2016/10/02 9:35 AM PDT","2016-10-02","2016-10-02 16:35:00 UTC","Pacific Time (US & Canada)",50,"","","false","","",NA,107502,"2017-09-22 23:00:42 UTC","2017-09-23 00:37:23 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-09-04 00:00:00 +0000","","Arboledas, 76807 San Juan del Rio, Qro., Mexico",20.3850883121,-100.0105297565,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/7799092","https://static.inaturalist.org/photos/10254827/medium.jpg?1504648677","danielt",7799092,"Mariposa almirante","Insecta",60606,"false",1,0,"2017/09/04 4:47 PM UTC","2017-09-04","","UTC",15,"","","false","","",NA,441640,"2017-09-05 22:01:03 UTC","2017-09-06 00:01:14 UTC","research","CC-BY-NC",NA,"false"
"Limenitis arthemis arizonensis","2017-08-25 11:02:00 -0500","","Jeff Davis, Texas, United States",30.6508966667,-104.0540833333,"","Arizona Red-spotted Purple","https://www.inaturalist.org/observations/7647877","https://static.inaturalist.org/photos/10006415/medium.jpg?1503687360","greglasley",7647877,"Arizona Red-spotted Purple","Insecta",60606,"false",2,0,"2017/08/25 11:02 AM CDT","2017-08-25","2017-08-25 16:02:00 UTC","Central Time (US & Canada)",NA,"","","false","","",NA,9706,"2017-08-25 19:02:13 UTC","2017-08-25 22:14:15 UTC","research","CC-BY-NC",NA,"false"
